date,symbol
2024-09-13,300308
2024-09-13,300502
2024-09-13,688498
2024-09-13,300476
2024-09-20,300476
2024-09-20,300502
2024-09-20,300620
2024-09-20,688498
2024-09-20,300394
2024-09-27,688183
2024-09-27,300308
2024-09-27,688498
2024-09-27,300476
2024-09-27,300620
2024-10-04,300308
2024-10-04,688183
2024-10-04,600183
2024-10-04,300502
2024-10-04,688498
2024-10-11,600183
2024-10-11,300620
2024-10-11,300476
2024-10-11,688183
2024-10-11,300394
2024-10-18,300394
2024-10-18,688498
2024-10-18,300620
2024-10-18,300502
2024-10-18,300308
2024-10-25,600183
2024-10-25,688183
2024-10-25,300394
2024-10-25,688498
2024-10-25,300502
2024-11-01,300394
2024-11-01,300502
2024-11-01,688183
2024-11-01,688498
2024-11-01,300476
2024-11-08,688498
2024-11-08,688183
2024-11-08,300502
2024-11-08,300620
2024-11-08,300308
2024-11-15,300308
2024-11-15,300476
2024-11-15,300394
2024-11-15,600183
2024-11-15,688183
2024-11-22,600183
2024-11-22,300394
2024-11-22,300620
2024-11-22,300476
2024-11-22,688183
2024-11-29,688498
2024-11-29,600183
2024-11-29,300394
2024-11-29,300308
2024-11-29,300620
2024-12-06,300394
2024-12-06,300308
2024-12-06,600183
2024-12-06,300620
2024-12-06,688498
2024-12-13,300502
2024-12-13,688183
2024-12-13,300476
2024-12-13,688498
2024-12-13,300308
2024-12-20,300502
2024-12-20,600183
2024-12-20,300394
2024-12-20,300620
2024-12-20,688498
2024-12-27,688498
2024-12-27,300308
2024-12-27,688183
2024-12-27,600183
2024-12-27,300394
2025-01-03,688183
2025-01-03,600183
2025-01-03,688498
2025-01-03,300476
2025-01-03,300620
2025-01-10,300476
2025-01-10,300620
2025-01-10,300502
2025-01-10,600183
2025-01-10,688183
2025-01-17,688183
2025-01-17,600183
2025-01-17,300476
2025-01-17,300308
2025-01-17,688498
2025-01-24,688183
2025-01-24,300394
2025-01-24,300308
2025-01-24,688498
2025-01-24,300476
2025-01-31,300502
2025-01-31,300394
2025-01-31,688183
2025-01-31,300308
2025-01-31,600183
2025-02-07,300394
2025-02-07,600183
2025-02-07,300620
2025-02-07,300476
2025-02-07,300308
2025-02-14,300620
2025-02-14,600183
2025-02-14,300394
2025-02-14,688183
2025-02-14,300502
2025-02-21,300308
2025-02-21,300394
2025-02-21,300620
2025-02-21,300502
2025-02-21,688498
2025-02-28,688498
2025-02-28,300502
2025-02-28,300308
2025-02-28,600183
2025-02-28,300394
2025-03-07,688498
2025-03-07,600183
2025-03-07,300308
2025-03-07,300394
2025-03-07,300476
2025-03-14,600183
2025-03-14,300502
2025-03-14,688498
2025-03-14,300620
2025-03-14,300308
2025-03-21,688498
2025-03-21,300502
2025-03-21,300620
2025-03-21,300394
2025-03-21,300308
2025-03-28,688183
2025-03-28,300502
2025-03-28,300620
2025-03-28,300308
2025-03-28,300394
2025-04-04,600183
2025-04-04,300394
2025-04-04,300308
2025-04-04,300476
2025-04-04,300502
2025-04-11,688183
2025-04-11,600183
2025-04-11,300394
2025-04-11,300620
2025-04-11,688498
2025-04-18,300394
2025-04-18,300620
2025-04-18,300476
2025-04-18,600183
2025-04-18,300308
2025-04-25,300308
2025-04-25,600183
2025-04-25,300502
2025-04-25,300394
2025-04-25,300620
2025-05-02,300394
2025-05-02,688183
2025-05-02,300620
2025-05-02,300476
2025-05-02,600183
2025-05-09,300476
2025-05-09,300394
2025-05-09,600183
2025-05-09,688498
2025-05-09,300502
2025-05-16,688498
2025-05-16,300502
2025-05-16,300308
2025-05-16,300394
2025-05-16,300620
2025-05-23,300502
2025-05-23,300308
2025-05-23,688183
2025-05-23,600183
2025-05-23,688498
2025-05-30,300308
2025-05-30,300476
2025-05-30,300394
2025-05-30,688183
2025-05-30,300502
2025-06-06,300502
2025-06-06,600183
2025-06-06,300394
2025-06-06,300308
2025-06-06,688498
2025-06-13,600183
2025-06-13,300502
2025-06-13,300394
2025-06-13,688183
2025-06-13,300308
2025-06-20,300476
2025-06-20,300308
2025-06-20,300620
2025-06-20,300394
2025-06-20,688498
2025-06-27,300502
2025-06-27,300394
2025-06-27,688183
2025-06-27,300476
2025-06-27,600183
2025-07-04,688498
2025-07-04,300502
2025-07-04,688183
2025-07-04,300394
2025-07-04,300308
2025-07-11,300476
2025-07-11,688183
2025-07-11,600183
2025-07-11,300502
2025-07-11,300620
2025-07-18,600183
2025-07-18,300476
2025-07-18,300308
2025-07-18,688498
2025-07-18,300394
2025-07-25,688498
2025-07-25,300308
2025-07-25,600183
2025-07-25,300476
2025-07-25,300394
2025-08-01,300620
2025-08-01,688498
2025-08-01,300476
2025-08-01,300502
2025-08-01,688183
2025-08-08,688183
2025-08-08,300620
2025-08-08,300308
2025-08-08,688498
2025-08-08,300502
2025-08-15,688498
2025-08-15,300502
2025-08-15,300476
2025-08-15,300620
2025-08-15,300308
2025-08-22,300308
2025-08-22,300502
2025-08-22,600183
2025-08-22,688498
2025-08-22,300394
2025-08-29,688183
2025-08-29,300308
2025-08-29,300476
2025-08-29,688498
2025-08-29,300394
2025-09-05,300476
2025-09-05,600183
2025-09-05,688498
2025-09-05,300308
2025-09-05,300620
2025-09-12,600183
2025-09-12,300620
2025-09-12,300476
2025-09-12,688183
2025-09-12,300308
2025-09-19,688498
2025-09-19,300476
2025-09-19,688183
2025-09-19,300620
2025-09-19,300394
2025-09-26,688498
2025-09-26,300394
2025-09-26,600183
2025-09-26,300502
2025-09-26,300308
2025-10-03,300394
2025-10-03,600183
2025-10-03,688498
2025-10-03,300476
2025-10-03,300620
2025-10-10,300476
2025-10-10,300502
2025-10-10,300394
2025-10-10,300308
2025-10-10,688183
2025-10-17,600183
2025-10-17,300308
2025-10-17,688183
2025-10-17,688498
2025-10-17,300620
2025-10-24,300620
2025-10-24,300308
2025-10-24,688498
2025-10-24,688183
2025-10-24,300502
2025-10-31,300476
2025-10-31,300620
2025-10-31,300394
2025-10-31,688498
2025-10-31,688183
2025-11-07,688183
2025-11-07,300502
2025-11-07,688498
2025-11-07,300394
2025-11-07,300476
2025-11-14,688183
2025-11-14,300394
2025-11-14,300620
2025-11-14,688498
2025-11-14,300308
2025-11-21,300620
2025-11-21,300476
2025-11-21,300308
2025-11-21,300502
2025-11-21,600183
2025-11-28,688498
2025-11-28,300308
2025-11-28,300476
2025-11-28,300620
2025-11-28,600183
2025-12-05,688498
2025-12-05,300620
2025-12-05,600183
2025-12-05,300502
2025-12-05,300394
2025-12-12,300308
2025-12-12,688183
2025-12-12,300502
2025-12-12,300620
2025-12-12,300476
2025-12-19,688498
2025-12-19,300394
2025-12-19,300620
2025-12-19,300308
2025-12-19,300502
2025-12-26,688498
2025-12-26,300502
2025-12-26,600183
2025-12-26,300620
2025-12-26,300308
2026-01-02,300308
2026-01-02,688498
2026-01-02,300620
2026-01-02,600183
2026-01-02,300394
2026-01-09,688183
2026-01-09,300308
2026-01-09,300620
2026-01-09,300502
2026-01-09,300394
2026-01-16,300476
2026-01-16,688183
2026-01-16,300502
2026-01-16,688498
2026-01-16,600183
2026-01-23,300308
2026-01-23,688183
2026-01-23,300394
2026-01-23,300502
2026-01-23,300620
2026-01-30,300502
2026-01-30,688498
2026-01-30,300308
2026-01-30,300476
2026-01-30,600183
2026-02-06,300308
2026-02-06,300394
2026-02-06,688183
2026-02-06,688498
2026-02-06,300620
2026-02-13,300620
2026-02-13,300394
2026-02-13,300502
2026-02-13,688183
2026-02-13,600183
2026-02-20,600183
2026-02-20,688183
2026-02-20,300620
2026-02-20,300394
2026-02-20,300502
2026-02-27,688498
2026-02-27,300502
2026-02-27,300394
2026-02-27,300476
2026-02-27,300620
2026-03-06,300620
2026-03-06,688498
2026-03-06,300308
2026-03-06,300502
2026-03-06,600183
2026-03-13,300394
2026-03-13,300308
2026-03-13,688498
2026-03-13,300502
2026-03-13,600183
2026-03-20,300476
2026-03-20,300502
2026-03-20,300620
2026-03-20,600183
2026-03-20,300394
2026-03-27,300476
2026-03-27,300502
2026-03-27,300308
2026-03-27,600183
2026-03-27,688498
2026-04-03,600183
2026-04-03,300502
2026-04-03,300620
2026-04-03,300308
2026-04-03,300476
2026-04-10,300620
2026-04-10,600183
2026-04-10,300502
2026-04-10,688498
2026-04-10,300476
2026-04-17,688498
2026-04-17,600183
2026-04-17,300476
2026-04-17,300308
2026-04-17,300620
2026-04-24,300620
2026-04-24,300308
2026-04-24,688183
2026-04-24,600183
2026-04-24,688498
2026-05-01,300476
2026-05-01,300308
2026-05-01,688183
2026-05-01,300502
2026-05-01,600183
2026-05-08,600183
2026-05-08,688183
2026-05-08,300502
2026-05-08,688498
2026-05-08,300476
2026-05-15,600183
2026-05-15,688498
2026-05-15,300620
2026-05-15,688183
2026-05-15,300502
2026-05-22,300308
2026-05-22,300394
2026-05-22,600183
2026-05-22,300476
2026-05-22,688498
2026-05-29,300502
2026-05-29,300476
2026-05-29,300394
2026-05-29,688498
2026-05-29,600183
2026-06-05,300308
2026-06-05,600183
2026-06-05,688183
2026-06-05,688498
2026-06-05,300394
2026-06-12,600183
2026-06-12,300476
2026-06-12,688183
2026-06-12,300502
2026-06-12,688498
2026-06-19,600183
2026-06-19,300476
2026-06-19,300394
2026-06-19,300308
2026-06-19,300620
2026-06-26,300394
2026-06-26,300308
2026-06-26,300502
2026-06-26,300476
2026-06-26,688498
2026-07-03,600183
2026-07-03,688498
2026-07-03,300620
2026-07-03,300476
2026-07-03,300308
2026-07-10,688498
2026-07-10,300620
2026-07-10,300476
2026-07-10,688183
2026-07-10,300308
2026-07-17,300394
2026-07-17,600183
2026-07-17,300308
2026-07-17,688498
2026-07-17,688183
2026-07-24,300308
2026-07-24,300502
2026-07-24,300476
2026-07-24,600183
2026-07-24,688183
2026-07-31,300620
2026-07-31,300476
2026-07-31,300308
2026-07-31,600183
2026-07-31,300394
2026-08-07,300476
2026-08-07,300620
2026-08-07,300502
2026-08-07,300394
2026-08-07,688183
