date,current_phase,stable_phase,previous_phase,big_up_candle,big_down_candle,candle_pct,future_5d_return
2026-07-16,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0007,0.023556140141097807
2026-07-17,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0062,0.008903862351100932
2026-07-20,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,0.0008,0.022120702091849128
2026-07-21,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,0.018,-0.008030231459612614
2026-07-22,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,0.0109,-0.019626168224299186
2026-07-23,STRONG_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,0.0,-0.023364485981308535
2026-07-24,WAVE_DOWN,STRONG_DOWN,STRONG_DOWN,False,False,-0.0204,0.0057245080500894505
2026-07-27,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.014,-0.009997647612326611
2026-07-28,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.012,0.0009523809523808474
2026-07-29,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.001,0.0295519542421355
2026-07-30,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0038,0.05203349282296657
2026-07-31,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0087,0.05442902881536815
2026-08-03,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0019,0.06985861946061554
2026-08-04,RANGE,WAVE_DOWN,WAVE_DOWN,False,False,-0.0011,0.07147954329210286
2026-08-05,WAVE_DOWN,WAVE_DOWN,RANGE,False,False,0.0276,0.053587962962962865
2026-08-06,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0179,0.028084138715179067
2026-08-07,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.011,0.006072874493927156
2026-08-10,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0127,0.0069961132704052
2026-08-11,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0004,0.007659007659007555
2026-08-12,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0104,-0.014171152367351374
2026-08-13,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0067,0.021234240212342423
2026-08-14,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0106,0.04940755644980999
2026-08-17,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0136,0.054697838553154
2026-08-18,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,0.0011,0.05012117206433136
2026-08-19,WAVE_DOWN,WAVE_DOWN,WAVE_DOWN,False,False,-0.0115,0.06050813461109865
